INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../sgm_kernel-tb.cpp in debug mode
   Compiling ../../../sgm_kernel.cpp in debug mode
   Generating csim.exe
Descriptor decimal = 240
Descriptor binary  = 11110000
Frame 000071, D1 = 34.5055 %, MAE = 2.89505 px, Bad1 = 69.8318 %, Bad3 = 31.7584 %
Frame 000072, D1 = 25.4992 %, MAE = 2.78708 px, Bad1 = 62.0292 %, Bad3 = 21.5674 %
Frame 000073, D1 = 25.6686 %, MAE = 2.1906 px, Bad1 = 62.6589 %, Bad3 = 21.2239 %
Frame 000074, D1 = 27.3084 %, MAE = 2.5228 px, Bad1 = 68.2056 %, Bad3 = 22.958 %
Frame 000075, D1 = 31.6883 %, MAE = 2.58995 px, Bad1 = 70.8349 %, Bad3 = 28.8945 %
Frame 000076, D1 = 32.7165 %, MAE = 2.76711 px, Bad1 = 70.9609 %, Bad3 = 29.5816 %
Frame 000077, D1 = 30.4098 %, MAE = 3.51369 px, Bad1 = 70.0257 %, Bad3 = 29.561 %
Frame 000078, D1 = 32.3525 %, MAE = 3.07249 px, Bad1 = 72.2741 %, Bad3 = 29.6356 %
Frame 000079, D1 = 31.2354 %, MAE = 2.73083 px, Bad1 = 70.9921 %, Bad3 = 29.2997 %
Frame 000080, D1 = 31.4222 %, MAE = 2.7567 px, Bad1 = 68.5758 %, Bad3 = 27.3828 %
Frame 000081, D1 = 31.9247 %, MAE = 2.74091 px, Bad1 = 68.3243 %, Bad3 = 29.0221 %
Frame 000082, D1 = 29.6372 %, MAE = 2.64893 px, Bad1 = 71.0992 %, Bad3 = 26.3359 %
Frame 000083, D1 = 31.0531 %, MAE = 2.35489 px, Bad1 = 71.346 %, Bad3 = 26.4541 %
Frame 000084, D1 = 25.6887 %, MAE = 2.73492 px, Bad1 = 65.7926 %, Bad3 = 21.2328 %
Frame 000085, D1 = 38.5984 %, MAE = 4.28946 px, Bad1 = 74.6418 %, Bad3 = 34.5057 %
Frame 000086, D1 = 36.7879 %, MAE = 6.14319 px, Bad1 = 75.8909 %, Bad3 = 34.6678 %
Frame 000087, D1 = 39.4501 %, MAE = 2.86304 px, Bad1 = 73.7809 %, Bad3 = 36.141 %
Frame 000088, D1 = 39.0158 %, MAE = 2.90498 px, Bad1 = 75.3958 %, Bad3 = 35.5169 %
Frame 000089, D1 = 39.4305 %, MAE = 2.92328 px, Bad1 = 71.5705 %, Bad3 = 32.4878 %
Frame 000090, D1 = 46.3636 %, MAE = 4.3711 px, Bad1 = 74.3641 %, Bad3 = 38.7773 %
Frame 000091, D1 = 42.8271 %, MAE = 3.9909 px, Bad1 = 77.6841 %, Bad3 = 39.3772 %
Frame 000092, D1 = 36.1551 %, MAE = 2.98695 px, Bad1 = 71.8427 %, Bad3 = 32.228 %
Frame 000093, D1 = 39.3833 %, MAE = 3.87259 px, Bad1 = 70.027 %, Bad3 = 33.1929 %
Frame 000094, D1 = 39.9944 %, MAE = 3.71368 px, Bad1 = 73.9178 %, Bad3 = 32.7404 %
Frame 000095, D1 = 41.0742 %, MAE = 4.2702 px, Bad1 = 71.6525 %, Bad3 = 37.2232 %
Frame 000096, D1 = 39.8019 %, MAE = 2.82898 px, Bad1 = 72.8987 %, Bad3 = 32.9643 %
Frame 000097, D1 = 43.3147 %, MAE = 3.20864 px, Bad1 = 76.0687 %, Bad3 = 33.5769 %
Frame 000098, D1 = 32.4216 %, MAE = 2.60475 px, Bad1 = 65.4188 %, Bad3 = 23.9632 %
Frame 000099, D1 = 27.2371 %, MAE = 2.21504 px, Bad1 = 66.1196 %, Bad3 = 23.7984 %
Frame 000100, D1 = 30.5862 %, MAE = 2.78279 px, Bad1 = 71.055 %, Bad3 = 27.2018 %
Frame 000101, D1 = 30.8466 %, MAE = 2.46041 px, Bad1 = 68.8345 %, Bad3 = 26.8058 %
Frame 000102, D1 = 26.3567 %, MAE = 2.99474 px, Bad1 = 68.3325 %, Bad3 = 22.7833 %
Frame 000103, D1 = 29.4602 %, MAE = 2.51746 px, Bad1 = 68.3546 %, Bad3 = 24.8272 %
Frame 000104, D1 = 78.8422 %, MAE = 17.2596 px, Bad1 = 93.5169 %, Bad3 = 77.5818 %
Frame 000105, D1 = 32.1391 %, MAE = 2.6984 px, Bad1 = 69.0525 %, Bad3 = 28.8332 %
Frame 000106, D1 = 30.4663 %, MAE = 2.56214 px, Bad1 = 70.814 %, Bad3 = 26.3615 %
Frame 000107, D1 = 24.9214 %, MAE = 2.26265 px, Bad1 = 65.0211 %, Bad3 = 20.7579 %
Frame 000108, D1 = 26.4719 %, MAE = 2.21199 px, Bad1 = 66.7684 %, Bad3 = 22.9326 %
Frame 000109, D1 = 25.0139 %, MAE = 2.21995 px, Bad1 = 69.3152 %, Bad3 = 20.9102 %
Frame 000110, D1 = 24.4861 %, MAE = 2.29264 px, Bad1 = 63.2917 %, Bad3 = 19.6032 %
Frame 000111, D1 = 27.4713 %, MAE = 2.41146 px, Bad1 = 70.3079 %, Bad3 = 23.1232 %
Frame 000112, D1 = 41.8066 %, MAE = 4.16813 px, Bad1 = 75.922 %, Bad3 = 34.6927 %
Frame 000113, D1 = 35.6056 %, MAE = 4.6986 px, Bad1 = 78.934 %, Bad3 = 33.217 %
Frame 000114, D1 = 44.6826 %, MAE = 4.59735 px, Bad1 = 72.5624 %, Bad3 = 41.3199 %
